Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2cc3ccc(Oc4cnc(cn4)-c4nc(no4)-c4ccc(cc4)C(F)(F)F)cc3n2CC=C)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2ccc(OCC(F)(F)F)cc2)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CCOC(=O)Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2ccc(OCC(F)(F)F)cc2)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2cc3ccc(Oc4cnc(cn4)-c4nc(no4)-c4ccc(cc4)C(F)(F)F)cc3n2Cc2ccccc2)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CN1CCN(CC1)C(=O)c1cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc2n1C	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)CN1CCN(CC1)C(=O)c1cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc2n1C	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(CC1)C(=O)CCl	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(CC1)C(=O)c1ccc(OCC(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CN(C)C(=O)C(=C\c1ccc(o1)-c1nc2cnc3[nH]ccc3c2n1C1CCCCC1)\C#N	Signal transducer and activator of transcription 3	1000	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)[C@H](C)NC(=O)CSc1nc2ccc(NC(=O)c3ccc(OCCN4CCCC4)c(C)c3OC)cc2s1	Signal transducer and activator of transcription 3	1030	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)c1ccc(cc1O)N(Cc1ccc(nc1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	1052	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)CN(Cc1ccccc1)Cc1ccccc1	Signal transducer and activator of transcription 3	1080	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(N(Cc2ccc(cc2)C2CCCCC2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	1080	"3CWG,6NJS,6NUQ,6TLC"
