Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
CCOC(=O)CN1CCN(CC1)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:34|	Colony Stimulating?Factor?1	2	US Patent	4EXP			
CC(C)(CN1CCN(CCO)CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:32|	Colony Stimulating?Factor?1	2	US Patent	4EXP			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3cnn(C)c3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3ccncc3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)-c3cnn(c3)C3CCNCC3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3cnn(C)c3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3ccc(nc3)P(C)(C)=O)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)-c3cnn(c3)C3CCNCC3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3ccncc3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"4LIQ,6T2W,4DKD"			
COc1cc2ncc(C(N)=O)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N1CCN(C)CC1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1cccc(NC(=O)Nc2ccc(cc2)-c2cncc3n(C)nc(N)c23)c1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
